word,inaugurals_pretrump,election2016_speeches_trump,"arctan2(inaugurals_pretrump,election2016_speeches_trump)"
exempt,7.69775533454e-05,0.000137388371948,-0.3497434576
disappear,7.69775533454e-05,0.000137388371948,-0.3497434576
arrive,7.69775533454e-05,0.000137388371948,-0.3497434576
dream,0.000538842873418,0.000961718603635,-0.3497434576
contribution,0.000153955106691,0.000274776743896,-0.3497434576
closely,7.69775533454e-05,0.000137388371948,-0.3497434576
train,7.69775533454e-05,0.000137388371948,-0.3497434576
year,0.00266342334575,0.00472116405421,-0.346015076583
fact,0.000585029405425,0.00103665771561,-0.345825358201
remember,0.000585029405425,0.00103665771561,-0.345825358201
care,0.000754380022785,0.00133641416349,-0.345691333418
debate,0.00016935061736,0.000299756447886,-0.345227953814
lincoln,9.23730640145e-05,0.000162368075938,-0.341421219385
town,9.23730640145e-05,0.000162368075938,-0.341421219385
explain,9.23730640145e-05,0.000162368075938,-0.341421219385
simply,0.000107768574684,0.000187347779929,-0.335357289558
church,0.000107768574684,0.000187347779929,-0.335357289558
listen,0.000107768574684,0.000187347779929,-0.335357289558
rich,0.000446469809404,0.000774370823706,-0.334090011046
come,0.00192443883364,0.00333479048273,-0.333592041096
oppression,0.000123164085353,0.000212327483919,-0.330742462975
young,0.000384887766727,0.000661962155748,-0.329439888384
career,0.000138559596022,0.00023730718791,-0.327112828423
reduce,0.000431074298734,0.00073690126772,-0.326069236465
private,0.000431074298734,0.00073690126772,-0.326069236465
organization,0.000292514702713,0.00049959407981,-0.325573880526
second,0.000292514702713,0.00049959407981,-0.325573880526
economic,0.000754380022785,0.00128645475551,-0.324723164676
evidence,0.000153955106691,0.0002622868919,-0.324183373354
use,0.00109308125751,0.00186098794729,-0.323810385985
able,0.00033870123472,0.000574533191782,-0.321769340687
easy,0.000200141638698,0.000337226003872,-0.318024880798
policy,0.00177048372695,0.00297258477487,-0.316039954973
security,0.00101610370416,0.00169861987135,-0.313608938147
dangerous,0.000261723681375,0.000437144819834,-0.313123399679
north,0.000261723681375,0.000437144819834,-0.313123399679
business,0.00107768574684,0.00178604883532,-0.308746621374
election,0.000662006958771,0.00108661712359,-0.303304359872
pain,7.69775533454e-05,0.000124898519953,-0.296746865655
troop,7.69775533454e-05,0.000124898519953,-0.296746865655
harm,7.69775533454e-05,0.000124898519953,-0.296746865655
crush,7.69775533454e-05,0.000124898519953,-0.296746865655
loan,0.000153955106691,0.000249797039905,-0.296746865655
mental,7.69775533454e-05,0.000124898519953,-0.296746865655
word,0.000723589001447,0.00117404608755,-0.296746865655
lost,3.07910213382e-05,4.9959407981e-05,-0.296746865655
drop,4.61865320073e-05,7.49391119715e-05,-0.296746865655
flee,4.61865320073e-05,7.49391119715e-05,-0.296746865655
grandchild,3.07910213382e-05,4.9959407981e-05,-0.296746865655
displace,3.07910213382e-05,4.9959407981e-05,-0.296746865655
trading,4.61865320073e-05,7.49391119715e-05,-0.296746865655
fraction,3.07910213382e-05,4.9959407981e-05,-0.296746865655
touch,0.000107768574684,0.000174857927934,-0.296746865655
training,3.07910213382e-05,4.9959407981e-05,-0.296746865655
divided,4.61865320073e-05,7.49391119715e-05,-0.296746865655
intentional,3.07910213382e-05,4.9959407981e-05,-0.296746865655
historical,3.07910213382e-05,4.9959407981e-05,-0.296746865655
intervention,6.15820426764e-05,9.9918815962e-05,-0.296746865655
admit,0.000292514702713,0.00047461437582,-0.296746865655
erase,3.07910213382e-05,4.9959407981e-05,-0.296746865655
families,1.53955106691e-05,2.49797039905e-05,-0.296746865655
expire,3.07910213382e-05,4.9959407981e-05,-0.296746865655
adviser,3.07910213382e-05,4.9959407981e-05,-0.296746865655
unstable,3.07910213382e-05,4.9959407981e-05,-0.296746865655
upgrade,3.07910213382e-05,4.9959407981e-05,-0.296746865655
housing,6.15820426764e-05,9.9918815962e-05,-0.296746865655
extremely,3.07910213382e-05,4.9959407981e-05,-0.296746865655
exceptional,4.61865320073e-05,7.49391119715e-05,-0.296746865655
16,4.61865320073e-05,7.49391119715e-05,-0.296746865655
electric,4.61865320073e-05,7.49391119715e-05,-0.296746865655
lawlessness,4.61865320073e-05,7.49391119715e-05,-0.296746865655
vibrant,3.07910213382e-05,4.9959407981e-05,-0.296746865655
knight,3.07910213382e-05,4.9959407981e-05,-0.296746865655
knee,3.07910213382e-05,4.9959407981e-05,-0.296746865655
addition,0.000123164085353,0.000199837631924,-0.296746865655
wrongdoing,4.61865320073e-05,7.49391119715e-05,-0.296746865655
twice,3.07910213382e-05,4.9959407981e-05,-0.296746865655
eighth,3.07910213382e-05,4.9959407981e-05,-0.296746865655
league,4.61865320073e-05,7.49391119715e-05,-0.296746865655
legally,4.61865320073e-05,7.49391119715e-05,-0.296746865655
enrich,6.15820426764e-05,9.9918815962e-05,-0.296746865655
administrator,3.07910213382e-05,4.9959407981e-05,-0.296746865655
enrichment,3.07910213382e-05,4.9959407981e-05,-0.296746865655
entitled,3.07910213382e-05,4.9959407981e-05,-0.296746865655
bankrupt,3.07910213382e-05,4.9959407981e-05,-0.296746865655
roam,3.07910213382e-05,4.9959407981e-05,-0.296746865655
rival,3.07910213382e-05,4.9959407981e-05,-0.296746865655
quick,3.07910213382e-05,4.9959407981e-05,-0.296746865655
punish,4.61865320073e-05,7.49391119715e-05,-0.296746865655
suicide,3.07910213382e-05,4.9959407981e-05,-0.296746865655
publicly,3.07910213382e-05,4.9959407981e-05,-0.296746865655
